id,input_text,output_text,direction,tone,audience,cultural__context,cultural_context,input_language,output_language,input_length,output_length,input_words,output_words,length_ratio,word_ratio,has_question,has_exclamation,is_greeting,has_cultural_term,complexity
21,"Rickshaw-wala bhaiya, Gulshan 2 circle e drop korben? Meter e jaabo na","rother rickshaw driver, will you drop me at Gulshan 2 circle? I won't go by meter",banglish_to_english,neutral,general,,"Urban transportation negotiation—confidently declining meter system while using respectful address, demonstrating knowledge of Dhaka's upscale area dynamics",english,english,70,81,12,16,1.1571428571428573,1.3333333333333333,False,False,False,True,0.5900000000000001
22,Your documentation of our street children's resilience reveals profound social consciousness,Amader pathe thaka shishu-der sahos ta tomar documentation e profound social consciousness dekhay,banglish_to_english,neutral,general,,Urban poverty empathy—recognizing deep understanding of Bangladesh's street children survival strategies and their inherent dignity despite circumstances,english,english,92,97,11,13,1.0543478260869565,1.1818181818181819,False,False,False,False,0.44100000000000006
23,Mama tea-stall e adda diye politics niye heated discussion korechi,Had heated political discussion during tea-stall adda with uncle,banglish_to_english,neutral,general,,Traditional social gathering—authentic portrayal of Bangladesh's tea-stall political debates where familial address facilitates open ideological exchange,english,english,66,64,10,9,0.9696969696969697,0.9,False,False,False,True,0.548
24,Nana traditional boat race e participate kore community bonding er importance bujhiyeche,Grandpa explained community bonding importance by participating in traditional boat race,banglish_to_english,neutral,general,,Rural sporting heritage—intergenerational wisdom transmission through Bangladesh's traditional water sports that strengthen village social fabric,english,english,88,88,12,11,1.0,0.9166666666666666,False,False,False,True,0.644
25,The spiritual authenticity in your mosque architecture appreciation transcends tourist observation,Tomar mosque architecture er appreciation e je spiritual authenticity ache seta tourist observation ke transcend kore,banglish_to_english,neutral,general,,Islamic heritage comprehension—recognizing profound spiritual connection to Bangladesh's mosque architecture that goes beyond superficial aesthetic appreciation,english,english,98,117,11,16,1.1938775510204083,1.4545454545454546,False,False,False,False,0.45899999999999996
26,Khalamma handicraft business e fair trade principle apply kore artisan dignity preserve koreche,Aunt preserved artisan dignity by applying fair trade principles in handicraft business,banglish_to_english,neutral,general,,Ethical commerce leadership—celebrating grassroots implementation of equitable business practices that honor traditional craftspeople's economic rights,english,english,95,87,13,12,0.9157894736842105,0.9230769230769231,False,False,False,True,0.6799999999999999
27,Eid er age market e shopping kore crowd management dekhe Bangladeshi patience realize korechi,Realized Bangladeshi patience seeing crowd management while Eid shopping in market,banglish_to_english,neutral,general,,Festival commerce dynamics—appreciating cultural capacity for collective patience during high-intensity religious celebration shopping periods,english,english,93,82,14,11,0.8817204301075269,0.7857142857142857,False,False,False,True,0.6890000000000001
28,Your understanding of our jute mill workers' historical sacrifice deserves revolutionary recognition,Amader jute mill er sromiker oitihasik tyag ta tomar bujhabujhi revolutionary recognition deserve kore,banglish_to_english,respectful,general,,Industrial heritage acknowledgment—recognizing deep appreciation for understanding Bangladesh's jute industry workers' role in economic independence struggle,english,english,100,102,12,14,1.02,1.1666666666666667,False,False,False,False,0.48
29,Baba CNG auto-rickshaw e honest service diye Dhaka traffic e survival ethics maintain koreche,Dad maintained survival ethics in Dhaka traffic by providing honest service in CNG auto-rickshaw,banglish_to_english,neutral,general,,Urban transportation integrity—family pride in father's ethical conduct within chaotic city transport system that prioritizes passenger dignity,english,english,93,96,14,14,1.032258064516129,1.0,False,False,False,False,0.489
30,Village school e computer training dekhe digital divide bridge korar hope feel korechi,Felt hope for bridging digital divide seeing computer training in village school,banglish_to_english,neutral,general,,Educational technology integration—witnessing rural-urban gap reduction through technology access that democratizes learning opportunities,english,english,86,80,13,12,0.9302325581395349,0.9230769230769231,False,False,False,False,0.453
31,The philosophical depth in your Nazrul interpretation captures revolutionary Bengali spirit perfectly,Tomar Nazrul byakhyar je darshonik gobhirota seta revolutionary Bengali spirit ke perfectly capture kore,banglish_to_english,neutral,general,,Literary rebellion comprehension—recognizing sophisticated understanding of Kazi Nazrul Islam's revolutionary poetry that embodies Bengali cultural resistance,english,english,101,104,12,14,1.0297029702970297,1.1666666666666667,False,False,False,False,0.483
32,Mama remittance diye village e solar panel setup kore sustainable energy pioneer hoye geche,Uncle became sustainable energy pioneer by setting up solar panels in village with remittance,banglish_to_english,neutral,general,,Diaspora environmental innovation—overseas earnings channeled into renewable energy infrastructure that transforms rural Bangladesh's power dynamics,english,english,91,93,14,14,1.021978021978022,1.0,False,False,False,True,0.683
33,Hilsha fish festival e community celebration dekhe cultural identity preservation er power realize korechi,Realized the power of cultural identity preservation seeing community celebration at hilsha fish festival,banglish_to_english,neutral,general,,Culinary heritage celebration—understanding how food festivals maintain Bangladesh's cultural continuity and strengthen community bonds through shared traditions,english,english,106,105,14,14,0.9905660377358491,1.0,False,False,True,False,0.528
34,Your sensitivity to our climate migration families reflects extraordinary humanitarian understanding,Amader climate migration poribar gulo ta tomar je sensitivity seta extraordinary humanitarian understanding reflect kore,banglish_to_english,neutral,general,,Environmental displacement compassion—appreciating profound empathy for climate-induced migration that affects Bangladesh's vulnerable coastal communities,english,english,100,120,11,15,1.2,1.3636363636363635,False,False,False,False,0.46499999999999997
35,Dada startup e IPO success howar por village development fund establish kore social responsibility show koreche,Brother showed social responsibility by establishing village development fund after startup IPO success,banglish_to_english,neutral,general,,Technology entrepreneurship philanthropy—celebrating how digital economy success translates into rural community investment and social impact,english,english,111,103,16,13,0.9279279279279279,0.8125,False,False,False,True,0.7729999999999999
36,Traditional weaving cooperative e women empowerment dekhe gender equality er grassroots power feel korechi,Felt grassroots power of gender equality seeing women empowerment in traditional weaving cooperative,banglish_to_english,neutral,general,,Female economic liberation—witnessing transformative effect of collective women's entrepreneurship in traditional textile production that challenges patriarchal norms,english,english,106,100,14,13,0.9433962264150944,0.9285714285714286,False,False,False,False,0.528
37,The monsoon poetry you shared resonates with every Bengali soul's seasonal longing,Je monsoon poetry share korecho seta prottek Bengali atmar rtutik akaঙ্ক্ষার sathe resonate kore,banglish_to_english,neutral,general,,Seasonal emotion universality—recognizing artistic expression that captures shared cultural experience of monsoon anticipation across Bengali consciousness,english,mixed,82,96,12,14,1.170731707317073,1.1666666666666667,False,False,False,False,0.42599999999999993
38,Nani folk medicine practice e herbal knowledge preserve kore alternative healing tradition maintain koreche,Grandma maintained alternative healing tradition by preserving herbal knowledge in folk medicine practice,banglish_to_english,respectful,general,,Indigenous healthcare wisdom—intergenerational transmission of traditional medicinal knowledge that complements modern healthcare with ancestral healing practices,english,english,107,105,14,13,0.9813084112149533,0.9285714285714286,False,False,False,True,0.7310000000000001
39,Sundarbans honey collection e sustainable practice dekhe environmental stewardship er indigenous wisdom realize korechi,Realized indigenous wisdom of environmental stewardship seeing sustainable practices in Sundarbans honey collection,banglish_to_english,neutral,general,,Mangrove ecosystem harmony—appreciating traditional conservation methods that balance economic livelihood with environmental protection in world's largest mangrove forest,english,english,119,115,14,13,0.9663865546218487,0.9285714285714286,False,False,False,False,0.567
40,Your documentation of our rural teachers' dedication captures educational sacrifice with profound dignity,Amader gramer shikkhok-der dedication ta tomar documentation e educational sacrifice ke profound dignity diye capture kore,banglish_to_english,neutral,general,,Pedagogical devotion recognition—acknowledging deep appreciation for understanding rural educators' commitment despite resource constraints and systemic challenges,english,english,105,122,13,16,1.161904761904762,1.2307692307692308,False,False,False,False,0.51
41,Khalamma microfinance group e leadership diye women's economic independence revolution start koreche,Aunt started women's economic independence revolution through leadership in microfinance group,banglish_to_english,neutral,general,,Grassroots financial empowerment—celebrating female leadership in village-level banking cooperatives that transform traditional gender economic dependencies,english,english,100,94,12,11,0.94,0.9166666666666666,False,False,False,True,0.6799999999999999
42,Folk dance performance e regional identity preservation dekhe cultural diversity er beauty appreciate korechi,Appreciated beauty of cultural diversity seeing regional identity preservation in folk dance performance,banglish_to_english,neutral,general,,Traditional arts authenticity—emotional connection to performance that maintains Bangladesh's regional cultural variations and artistic heritage,english,english,109,104,14,13,0.9541284403669725,0.9285714285714286,False,False,False,False,0.537
43,The depth of your Language Movement understanding honors our martyrs' ultimate sacrifice,Tomar Bhasha Andoloner gobhir bujhabujhi amader shahid-der ultimate sacrifice ke honor kore,banglish_to_english,neutral,general,,Historical martyrdom comprehension—recognizing profound respect for understanding significance of Bangladesh's language freedom struggle and linguistic identity,english,english,88,91,12,12,1.0340909090909092,1.0,False,False,False,False,0.444
44,Baba pond aquaculture e organic farming method introduce kore environmental agriculture pioneer hoye geche,Dad became environmental agriculture pioneer by introducing organic farming methods in pond aquaculture,banglish_to_english,neutral,general,,Sustainable farming innovation—family pride in father's ecological aquaculture approach that transforms traditional fish farming into environmentally conscious practice,english,english,106,103,14,13,0.9716981132075472,0.9285714285714286,False,False,False,False,0.528
45,Your appreciation for our rickshaw art reflects profound understanding of urban folk creativity,Amader rickshaw art er proti tomar appreciation profound urban folk creativity er bujhabujhi reflect kore,banglish_to_english,neutral,general,,Street art culture recognition—acknowledging deep appreciation for understanding Bangladesh's mobile canvas tradition that transforms transportation into artistic expression,english,english,95,105,13,15,1.105263157894737,1.1538461538461537,False,False,False,False,0.48
46,Freelancing kore dollar income howar por family er attitude completely change hoye geche,Family's attitude completely changed after earning dollar income through freelancing,banglish_to_english,neutral,general,,Digital economy social dynamics—noting how online work success transforms traditional family respect patterns and economic hierarchies,english,english,88,84,13,10,0.9545454545454546,0.7692307692307693,False,False,False,False,0.459
47,Your documentation of our riverbank erosion struggles carries profound empathy,Amader nodi-vanga manusher sangram ta tomar documentation e profound empathy ache,banglish_to_english,neutral,general,,Environmental displacement compassion—appreciating deep emotional understanding of climate change impacts on Bangladesh's riverine communities,english,english,78,81,10,11,1.0384615384615385,1.1,False,False,False,False,0.384
48,Mela te traditional crafts kinte giye artisan der life story sune emotional hoye porechi,Got emotional hearing artisan life stories while buying traditional crafts at the fair,banglish_to_english,neutral,general,,Rural artisan connection—emotional impact of discovering personal narratives behind handcrafted items at village fairs,english,english,88,86,14,13,0.9772727272727273,0.9285714285714286,False,False,False,False,0.474
49,Dada Dhaka Stock Exchange e investment kore successful howar por whole family proud,Whole family is proud after brother became successful investing in Dhaka Stock Exchange,banglish_to_english,neutral,general,,Financial market achievement—family honor through capital market success reflecting Bangladesh's growing investment culture,english,english,83,87,13,13,1.0481927710843373,1.0,False,False,False,True,0.6439999999999999
50,The way you captured our fishing village dawn is cinematically beautiful,Amader macher gram er bhorer chobi ta tumi je bhabe capture korecho seta cinematically sundor,banglish_to_english,neutral,general,,Coastal life aesthetics—recognizing artistic representation of Bangladesh's fishing community morning routines with visual poetry,english,english,72,93,11,15,1.2916666666666667,1.3636363636363635,False,False,False,False,0.381
51,Khalamma village e women's cooperative business shuru kore inspiring example set koreche,Aunt set inspiring example by starting women's cooperative business in village,banglish_to_english,neutral,general,,Rural women entrepreneurship—celebrating grassroots female economic empowerment through collective business initiatives,english,english,88,78,12,11,0.8863636363636364,0.9166666666666666,False,False,False,True,0.644
52,Kobir lorai competition e participate kore traditional poetry er power realize korechi,Realized the power of traditional poetry by participating in kobir lorai competition,banglish_to_english,neutral,general,,Folk poetry appreciation—intellectual awakening through experiencing Bangladesh's competitive verse recitation traditions,english,english,86,84,12,12,0.9767441860465116,1.0,False,False,False,False,0.438
53,Your understanding of our hilsha fish emotion runs deeper than the Padma River,Amader ilish macher emotion ta tomar bujhabujhi Padma nodir cheye o gobhir,banglish_to_english,neutral,general,,Culinary culture metaphor—using Bangladesh's major river to express profound appreciation for understanding national fish's cultural significance,english,english,78,74,13,12,0.9487179487179487,0.9230769230769231,False,False,False,False,0.429
54,Startup incubator e pitch korte giye nervous hoye gechi but confidence build hoye eche,Got nervous pitching at startup incubator but confidence has built up,banglish_to_english,neutral,general,,Entrepreneurial growth journey—emotional progression from anxiety to self-assurance in Bangladesh's emerging startup ecosystem,english,english,86,69,14,11,0.8023255813953488,0.7857142857142857,False,False,False,False,0.46799999999999997
55,Eid shopping e traffic jam e stuck thaka obosthatei mobile banking korte hoyeche,Had to do mobile banking while stuck in traffic jam during Eid shopping,banglish_to_english,neutral,general,,Festival commerce adaptation—demonstrating how digital payment solutions solve urban mobility challenges during religious celebrations,english,english,80,71,13,13,0.8875,1.0,False,False,False,True,0.635
56,The monsoon agriculture wisdom you shared reflects generations of knowledge,Je monsoon agriculture er buddhimotta share korecho seta projonmer pojonmer knowledge reflect kore,banglish_to_english,respectful,general,,Agricultural heritage recognition—acknowledging deep understanding of Bangladesh's ancestral farming wisdom adapted to seasonal patterns,english,english,75,98,10,13,1.3066666666666666,1.3,False,False,False,False,0.375
57,Nana boat making craft shikhiye diyeche traditional technique diye,Grandpa taught boat making craft using traditional techniques,banglish_to_english,neutral,general,,Artisanal knowledge transfer—intergenerational skill transmission of Bangladesh's essential watercraft construction heritage,english,english,66,61,9,8,0.9242424242424242,0.8888888888888888,False,False,False,True,0.533
58,Rohingya refugee camp e volunteer work korte giye humanity dekhe humbled hoye gechi,Got humbled seeing humanity while doing volunteer work at Rohingya refugee camp,banglish_to_english,neutral,general,,Humanitarian service impact—emotional transformation through witnessing resilience and compassion in refugee assistance work,english,english,83,79,13,12,0.9518072289156626,0.9230769230769231,False,False,False,False,0.44399999999999995
59,Your appreciation for our rural school children's dreams touches my educator heart,Amader gramer school er baccha-der shopno gulo tomar je appreciation seta amar shikkhok hridoy ke chhoy jae,banglish_to_english,neutral,general,,Educational aspiration empathy—teacher's emotional response to outsider recognition of rural children's academic ambitions,english,banglish,82,107,12,17,1.3048780487804879,1.4166666666666667,False,False,False,False,0.42599999999999993
60,Chittagong port e container ship dekhe Bangladesh er trade potential realize korechi,Realized Bangladesh's trade potential seeing container ships at Chittagong port,banglish_to_english,neutral,general,,Maritime commerce awareness—understanding Bangladesh's strategic economic position through major port infrastructure observation,english,english,84,79,12,10,0.9404761904761905,0.8333333333333334,False,False,False,False,0.432
61,Traditional weaving loom e saree banano process dekhe mesmerized hoye gechi,Got mesmerized seeing saree making process on traditional weaving loom,banglish_to_english,neutral,general,,Textile heritage appreciation—aesthetic enchantment with Bangladesh's traditional fabric production methods and craftsmanship,english,english,75,70,11,10,0.9333333333333333,0.9090909090909091,False,False,False,False,0.39
62,The spiritual depth in your Lalon songs interpretation is extraordinarily moving,Tomar Lalon ganer byakhya te je adhyatmik gobhirota ache seta extraordinarily moving,banglish_to_english,neutral,general,,Mystical music comprehension—profound spiritual response to sophisticated understanding of Bangladesh's philosophical folk traditions,english,english,80,84,11,12,1.05,1.0909090909090908,False,False,False,False,0.405
63,Mama Dubai theke remittance pathiye family er economic stability ensure koreche,Uncle ensured family's economic stability by sending remittance from Dubai,banglish_to_english,neutral,general,,Gulf migration sacrifice—acknowledging overseas labor contributions that sustain Bangladeshi household financial security,english,english,79,74,11,10,0.9367088607594937,0.9090909090909091,False,False,False,True,0.6020000000000001
64,Climate change impact e coastal area te salt water intrusion dekhe concerned hoye gechi,Got concerned seeing salt water intrusion in coastal areas due to climate change impact,banglish_to_english,neutral,general,,Environmental degradation awareness—witnessing firsthand climate-induced agricultural and drinking water contamination challenges,english,english,87,87,14,14,1.0,1.0,False,False,False,False,0.471
65,Your documentation of our village wedding traditions captures pure cultural joy,Amader gramer biye er tradition ta tomar documentation e pure cultural joy capture koreche,banglish_to_english,neutral,general,,Rural ceremony appreciation—recognizing authentic representation of Bangladesh's village marriage customs and communal celebration spirit,english,english,79,90,11,14,1.139240506329114,1.2727272727272727,False,False,False,False,0.402
66,Baba pond aquaculture kore fish export business e successful hoye geche,Dad became successful in fish export business through pond aquaculture,banglish_to_english,neutral,general,,Aquaculture entrepreneurship—family pride in transforming traditional fish farming into international trade business,english,english,71,70,11,10,0.9859154929577465,0.9090909090909091,False,False,False,False,0.378
67,Sundarbans honey collection e local community er sustainable practice dekhe amazed,Got amazed seeing local community's sustainable practices in Sundarbans honey collection,banglish_to_english,neutral,general,,Mangrove ecosystem harmony—appreciating indigenous conservation methods that balance economic needs with environmental protection,english,english,82,88,11,11,1.0731707317073171,1.0,False,False,False,False,0.411
68,Your sensitivity to our Language Movement martyrs deserves highest honor,Amader Bhasha Andolon er shahid-der proti tomar je sensitivity seta highest honor deserve kore,banglish_to_english,neutral,general,,Historical sacrifice recognition—deepest respect for understanding the profound significance of Bangladesh's language martyrs and their legacy,english,english,72,94,10,14,1.3055555555555556,1.4,False,False,False,False,0.366
69,Village school e computer lab setup dekhe digital literacy progress e hopeful hoye gechi,Got hopeful seeing computer lab setup in village school showing digital literacy progress,banglish_to_english,neutral,general,,Rural education advancement—witnessing technology integration that bridges urban-rural educational opportunity gaps,english,english,88,89,14,13,1.0113636363636365,0.9285714285714286,False,False,False,False,0.474
70,The monsoon longing you expressed in that verse echoes every Bengali heart,Je monsoon er aকাংক্ষা tumi sei chonde prokash korecho seta prottek Bangali hridoye gunjor tole,banglish_to_english,neutral,general,,Seasonal emotion universality—recognizing artistic expression that captures the shared cultural experience of monsoon anticipation,english,mixed,74,95,12,15,1.2837837837837838,1.25,False,False,False,False,0.402
71,"Sylhet er cha bagan dekhe mone holo, ekhane theke jete ichha korche na","Seeing Sylhet's tea gardens, I don't feel like leaving here",banglish_to_english,neutral,general,,sylhet_natural_beauty,english,english,70,59,13,10,0.8428571428571429,0.7692307692307693,False,False,False,False,0.405
72,Cox's Bazar beach hotel booking requires advance payment in taka only,Cox's Bazar beach hotel booking e advance payment shudhu taka te lagbe,banglish_to_english,neutral,general,,beach_destination_planning,english,english,69,70,11,12,1.0144927536231885,1.0909090909090908,False,False,False,False,0.372
73,"Dhaka te ferot eshe first e Hajir Biriyani khabo, eta miss korte pari na","Returning to Dhaka, first I'll eat Hajir Biriyani, can't miss this",banglish_to_english,neutral,general,,iconic_dhaka_cuisine,english,english,72,66,14,11,0.9166666666666666,0.7857142857142857,False,False,False,False,0.426
74,Pathao bike service works faster than CNG through Old Dhaka's narrow lanes,Puran Dhaka er choto rasta diye Pathao bike CNG er theke fast jay,banglish_to_english,neutral,general,,old_dhaka_mobility,english,english,74,65,12,13,0.8783783783783784,1.0833333333333333,False,False,False,False,0.402
75,"Chittagong er fish market theke taza mach kinbo, Dhaka te emon pawa jay na","Will buy fresh fish from Chittagong's fish market, can't get this quality in Dhaka",banglish_to_english,neutral,general,,chittagong_market_superiority,english,english,74,82,14,14,1.1081081081081081,1.0,False,False,False,False,0.432
76,Uber car booking fails during heavy Dhaka monsoon but rickshaw wala still available,Dhaka er bhorsha brishti te Uber car booking fail hoy kintu rickshaw wala available thake,banglish_to_english,neutral,general,,traditional_vs_modern_transport,english,english,83,89,13,15,1.072289156626506,1.1538461538461537,False,False,False,False,0.44399999999999995
77,"Rajshahi te giye mishti mukh korbo, local sweet shop gulo famous","Going to Rajshahi, will taste sweets, local sweet shops are famous",banglish_to_english,neutral,general,,rajshahi_sweet_culture,english,english,64,66,11,11,1.03125,1.0,False,False,False,False,0.357
78,Foodpanda delivery reaches even remote areas of Barisal during flood season,Flood er shomoy o Foodpanda delivery Barisal er dur dur jayga te pohuche,banglish_to_english,neutral,general,,rural_delivery_reach,english,english,75,72,11,13,0.96,1.1818181818181819,False,False,False,False,0.39
79,"Rangpur er pitha festival e jabo, winter e etar taste alada","Will go to Rangpur's pitha festival, its taste is different in winter",banglish_to_english,neutral,general,,rangpur_cultural_events,english,english,59,69,11,12,1.1694915254237288,1.0909090909090908,False,False,False,False,0.34199999999999997
80,CNG auto rickshaw driver knows shortcuts through every Dhaka neighborhood traffic,Dhaka er shobai moholla er traffic er moddhe diye CNG driver shortcut jane,banglish_to_english,neutral,general,,dhaka_traffic_mastery,english,english,81,74,11,13,0.9135802469135802,1.1818181818181819,False,False,False,False,0.40800000000000003
81,"Khulna theke shundarbon tour korbo, boat booking advance e korte hobe","Will tour Sundarbans from Khulna, boat booking needs to be done in advance",banglish_to_english,neutral,general,,khulna_sundarbans_gateway,english,english,69,74,11,13,1.0724637681159421,1.1818181818181819,False,False,False,True,0.5720000000000001
82,Mobile network coverage drops completely in remote tea garden areas of Sylhet,Sylhet er dur dur cha bagan e mobile network coverage bilkul nei,banglish_to_english,neutral,general,,tea_estate_isolation,english,english,77,64,12,12,0.8311688311688312,1.0,False,False,False,False,0.411
83,"Rickshaw wala bhai, Puran Dhaka er Shakhari Bazar e jaben?","Rickshaw driver brother, will you go to Shakhari Bazar in Old Dhaka?",banglish_to_english,neutral,general,,old_dhaka_commercial_areas,english,english,58,68,10,12,1.1724137931034482,1.2,True,False,False,True,0.524
84,Hotel room booking confirmation arrives exactly when train reaches Chittagong station,Train Chittagong station e pouchhe hotel room booking confirmation ashe,banglish_to_english,neutral,general,,port_city_accommodation,english,english,85,71,11,10,0.8352941176470589,0.9090909090909091,False,False,False,False,0.42000000000000004
85,"Fuchka wala bhai Dhanmondi te better spice control kore, New Market er theke",Fuchka vendor brother has better spice control in Dhanmondi than New Market,banglish_to_english,neutral,general,,dhaka_neighborhood_food_culture,english,english,76,75,13,12,0.9868421052631579,0.9230769230769231,False,False,False,True,0.623
86,Pathao food delivery timing perfectly matches office lunch break in Motijheel,Motijheel e office lunch break er sathe Pathao food delivery timing perfectly match kore,banglish_to_english,neutral,general,,office_area_food_services,english,english,77,88,11,14,1.1428571428571428,1.2727272727272727,False,False,False,False,0.396
87,"Sylhet er cha dokan e boshe pahar dekha jay, Dhaka er pollution nei","Sitting at Sylhet's tea stall, mountains are visible, no Dhaka pollution",banglish_to_english,neutral,general,,air_quality_comparison,english,english,67,72,13,11,1.0746268656716418,0.8461538461538461,False,False,False,False,0.396
88,Cox's Bazar hotel staff learned basic Chittagonian dialect for tourist communication,Cox's Bazar hotel staff tourist der sathe kotha bolte Chittagonian dialect shikhche,banglish_to_english,neutral,general,,beach_tourism_service,english,english,84,83,11,12,0.9880952380952381,1.0909090909090908,False,False,False,False,0.41700000000000004
89,"Barisal er naukay koira fish market jai, CNG auto rickshaw cholbe na okhane","Going to fish market by boat in Barisal, CNG auto rickshaw won't run there",banglish_to_english,neutral,general,,riverine_city_mobility,english,english,75,74,13,14,0.9866666666666667,1.0769230769230769,False,False,False,False,0.42
90,Street food tastes completely different in each division but taka price stays similar,Prottek division e street food er taste alada kintu taka price almost same,banglish_to_english,neutral,general,,culinary_travel_economics,english,english,85,74,13,13,0.8705882352941177,1.0,False,False,False,False,0.45
91,"Rangpur er winter e rickshaw chapa khub shokto, gaye blanket diye cholte hoy","In Rangpur's winter, rickshaw riding is very hard, have to travel wrapped in blankets",banglish_to_english,neutral,general,,winter_commute_reality,english,english,76,85,13,14,1.118421052631579,1.0769230769230769,False,False,False,False,0.423
92,Uber driver refuses trips to remote areas beyond Dhaka metropolitan limits,Dhaka metropolitan area er baire dur jayga te Uber driver jete chay na,banglish_to_english,neutral,general,,metropolitan_service_radius,english,english,74,70,11,13,0.9459459459459459,1.1818181818181819,False,False,False,False,0.387
