id,input_text,output_text,direction,tone,audience,cultural_context
355,"Dhanyabad apu, tomra amader ke family er moto treat korecho","Thank you sister, you all treated us like family",banglish_to_english,hospitality_gratitude,family_treatment,cultural_warmth_appreciation
356,The hotel elevator plays classical music but rickshaws blast pop songs,Hotel er elevator e classical music kintu rickshaw e pop song,english_to_banglish,cultural_contrast,music_environment_differences,transportation_entertainment_comparison
357,Mobile er battery backup kemon? Whole day cholbe to?,How's the mobile's battery backup? Will it last the whole day?,banglish_to_english,device_reliability,battery_anxiety,daily_usage_planning
358,Street vendor's memory for customer preferences amazes technology users,Street vendor er customer preference mone rakhar capacity technology user der obak kore,english_to_banglish,human_vs_tech,memory_appreciation,analog_intelligence_admiration
359,Traffic jam e pore rickshaw wala bhai life story bolte shuru korlo,"Stuck in traffic jam, rickshaw driver brother started telling his life story",banglish_to_english,transport_bonding,personal_sharing,traffic_delay_conversations
360,The neighborhood cats have established hierarchy around the fish market,Fish market er charpashe biral der hierarchy established hoye gese,english_to_banglish,animal_sociology,market_ecosystem,territorial_behavior_observation
361,Hotel room e mosquito problem hole ki korbo? Coil kinbo kothay?,What to do if there's mosquito problem in hotel room? Where to buy coil?,banglish_to_english,accommodation_preparation,pest_management,local_shopping_needs
362,Family video calls during meals become food quality inspection sessions,Khawar shomoy family video call food quality inspection hoye jay,english_to_banglish,family_monitoring,meal_supervision,remote_parenting_culture
363,"Rickshaw fare advance e fixed korte hobe, meter broken bole","Have to fix rickshaw fare in advance, says meter is broken",banglish_to_english,transport_negotiation,fare_discussion,meter_excuse_culture
364,The tea stall becomes evening news broadcasting center without television,Cha dokan TV na thakleo shondha belay news broadcasting center hoye jay,english_to_banglish,community_information,oral_news_culture,social_gathering_communication
365,Train e seat confirm na hole standing ticket e jete hobe,"If train seat isn't confirmed, will have to travel with standing ticket",banglish_to_english,travel_backup_planning,accommodation_alternatives,railway_booking_reality
